theta1	omega1	alpha1	theta2	omega2	alpha2
9.370162091782777702e-01	-1.045513621697689466e+00	-8.533723411589903662e+00	5.469164386348903673e-01	4.848751043659013660e-01	1.603263821462149963e+00
9.316869757088482862e-01	-1.088075223348574871e+00	-8.505898243056208230e+00	5.493586496537220532e-01	4.928906202607099551e-01	1.605627103909910147e+00
9.261454816592933348e-01	-1.130493014053222778e+00	-8.476130076865501906e+00	5.518409255064850027e-01	5.009150217828716167e-01	1.606791739046030898e+00
9.203924698389742698e-01	-1.172757046366076361e+00	-8.444321690862238938e+00	5.543632953091788274e-01	5.089419079017805103e-01	1.606591397164805812e+00
9.144287329038492951e-01	-1.214856877600107188e+00	-8.410372076363614724e+00	5.569257557573679129e-01	5.169640325732725028e-01	1.604854127119438090e+00
9.082551176768962620e-01	-1.256781557469941024e+00	-8.374179424519297754e+00	5.595282640906410476e-01	5.249732909332415209e-01	1.601408949843687424e+00
9.018725287824480574e-01	-1.298519613627491909e+00	-8.335635640079203768e+00	5.621707321059770113e-01	5.329607006874497177e-01	1.596073558781313295e+00
8.952819283908911574e-01	-1.340059024752285888e+00	-8.294629913384937936e+00	5.648530261154192100e-01	5.409163555578525573e-01	1.588662066073368351e+00
8.884843401815391006e-01	-1.381387219457608451e+00	-8.251052742672982276e+00	5.675749605482965920e-01	5.488294265082280798e-01	1.578990717622104967e+00
8.814808519464246706e-01	-1.422491061744625140e+00	-8.204787002431771725e+00	5.703362935632482200e-01	5.566881402922750910e-01	1.566864371708902581e+00
8.742726178379587321e-01	-1.463356825332390976e+00	-8.155714680876258171e+00	5.731367231292563424e-01	5.644797412790741875e-01	1.552086700715449297e+00
8.668608625055010952e-01	-1.503970207703355655e+00	-8.103722533312293308e+00	5.759758803699950303e-01	5.721905145843386720e-01	1.534469120263395325e+00
8.592468840827212073e-01	-1.544316321928886460e+00	-8.048689587005924295e+00	5.788533245982546704e-01	5.798057746625631115e-01	1.513811219395961416e+00
